Tournament,Winner,Season
Mercedes Championships,Tiger Woods (16),2000
Sony Open in Hawaii,Paul Azinger (12),2000
Bob Hope Chrysler Classic,Jesper Parnevik (3),2000
Phoenix Open,Tom Lehman (5),2000
AT&T Pebble Beach National Pro-Am,Tiger Woods (17),2000
Buick Invitational,Phil Mickelson (14),2000
Nissan Open,Kirk Triplett (1),2000
WGC-Andersen Consulting Match Play Championship,Darren Clarke (1),2000
Touchstone Energy Tucson Open,Jim Carter (1),2000
Doral-Ryder Open,Jim Furyk (5),2000
Honda Classic,Dudley Hart (2),2000
Bay Hill Invitational,Tiger Woods (18),2000
The Players Championship,Hal Sutton (12),2000
BellSouth Classic,Phil Mickelson (15),2000
Masters Tournament,Vijay Singh (9),2000
MCI Classic,Stewart Cink (2),2000
Greater Greensboro Chrysler Classic,Hal Sutton (13),2000
Shell Houston Open,Robert Allenby (1),2000
Compaq Classic of New Orleans,Carlos Franco (3),2000
GTE Byron Nelson Classic,Jesper Parnevik (4),2000
MasterCard Colonial,Phil Mickelson (16),2000
Memorial Tournament,Tiger Woods (19),2000
Kemper Insurance Open,Tom Scherrer (1),2000
Buick Classic,Dennis Paulson (1),2000
U.S. Open,Tiger Woods (20),2000
FedEx St. Jude Classic,Notah Begay III (3),2000
Canon Greater Hartford Open,Notah Begay III (4),2000
Advil Western Open,Robert Allenby (2),2000
Greater Milwaukee Open,Loren Roberts (7),2000
Open Championship,Tiger Woods (21),2000
B.C. Open,Brad Faxon (6),2000
John Deere Classic,Michael Clark II (1),2000
The International,Ernie Els (8),2000
Buick Open,Rocco Mediate (4),2000
PGA Championship,Tiger Woods (22),2000
WGC-NEC Invitational,Tiger Woods (23),2000
Reno–Tahoe Open,Scott Verplank (3),2000
Air Canada Championship,Rory Sabbatini (1),2000
Bell Canadian Open,Tiger Woods (24),2000
SEI Pennsylvania Classic,Chris DiMarco (1),2000
Westin Texas Open,Justin Leonard (5),2000
Buick Challenge,David Duval (12),2000
Michelob Championship at Kingsmill,David Toms (4),2000
Invensys Classic at Las Vegas,Billy Andrade (4),2000
Tampa Bay Classic,John Huston (6),2000
National Car Rental Golf Classic Disney,Duffy Waldorf (4),2000
The Tour Championship,Phil Mickelson (17),2000
Southern Farm Bureau Classic,Steve Lowery (2),2000
WGC-American Express Championship,Mike Weir (2),2000
WGC-Accenture Match Play Championship,Steve Stricker (3),2001
Mercedes Championships,Jim Furyk (6),2001
Touchstone Energy Tucson Open,Garrett Willis (1),2001
Sony Open in Hawaii,Brad Faxon (7),2001
Phoenix Open,Mark Calcavecchia (11),2001
AT&T Pebble Beach National Pro-Am,Davis Love III (14),2001
Buick Invitational,Phil Mickelson (18),2001
Bob Hope Chrysler Classic,Joe Durant (2),2001
Nissan Open,Robert Allenby (3),2001
Genuity Championship,Joe Durant (3),2001
Honda Classic,Jesper Parnevik (5),2001
Bay Hill Invitational,Tiger Woods (25),2001
The Players Championship,Tiger Woods (26),2001
BellSouth Classic,Scott McCarron (3),2001
Masters Tournament,Tiger Woods (27),2001
WorldCom Classic - The Heritage of Golf,José Cóceres (1),2001
Shell Houston Open,Hal Sutton (14),2001
Greater Greensboro Chrysler Classic,Scott Hoch (9),2001
Compaq Classic of New Orleans,David Toms (5),2001
Verizon Byron Nelson Classic,Robert Damron (1),2001
MasterCard Colonial,Sergio García (1),2001
Kemper Insurance Open,Frank Lickliter (1),2001
Memorial Tournament,Tiger Woods (28),2001
FedEx St. Jude Classic,Bob Estes (2),2001
U.S. Open,Retief Goosen (1),2001
Buick Classic,Sergio García (2),2001
Canon Greater Hartford Open,Phil Mickelson (19),2001
Advil Western Open,Scott Hoch (10),2001
Greater Milwaukee Open,Shigeki Maruyama (1),2001
The Open Championship,David Duval (13),2001
B.C. Open,Jeff Sluman (5),2001
John Deere Classic,David Gossett (1),2001
The International,Tom Pernice Jr. (2),2001
Buick Open,Kenny Perry (4),2001
PGA Championship,David Toms (6),2001
WGC-NEC Invitational,Tiger Woods (29),2001
Reno–Tahoe Open,John Cook (11),2001
Air Canada Championship,Joel Edwards (1),2001
Bell Canadian Open,Scott Verplank (4),2001
WGC-American Express Championship,Canceled,2001
Tampa Bay Classic,Canceled,2001
Marconi Pennsylvania Classic,Robert Allenby (4),2001
Texas Open,Justin Leonard (6),2001
Michelob Championship at Kingsmill,David Toms (7),2001
Invensys Classic at Las Vegas,Bob Estes (3),2001
National Car Rental Golf Classic Disney,José Cóceres (2),2001
Buick Challenge,Chris DiMarco (2),2001
The Tour Championship,Mike Weir (3),2001
Southern Farm Bureau Classic,Cameron Beckman (1),2001
Mercedes Championships,Sergio García (3),2002
Sony Open in Hawaii,Jerry Kelly (1),2002
Bob Hope Chrysler Classic,Phil Mickelson (20),2002
Phoenix Open,Chris DiMarco (3),2002
AT&T Pebble Beach National Pro-Am,Matt Gogel (1),2002
Buick Invitational,José María Olazábal (6),2002
Nissan Open,Len Mattiace (1),2002
WGC-Accenture Match Play Championship,Kevin Sutherland (1),2002
Touchstone Energy Tucson Open,Ian Leggatt (1),2002
Genuity Championship,Ernie Els (9),2002
The Honda Classic,Matt Kuchar (1),2002
Bay Hill Invitational,Tiger Woods (30),2002
The Players Championship,Craig Perks (1),2002
Shell Houston Open,Vijay Singh (10),2002
BellSouth Classic,Retief Goosen (2),2002
Masters Tournament,Tiger Woods (31),2002
WorldCom Classic - The Heritage of Golf,Justin Leonard (7),2002
Greater Greensboro Chrysler Classic,Rocco Mediate (5),2002
Compaq Classic of New Orleans,K. J. Choi (1),2002
Verizon Byron Nelson Classic,Shigeki Maruyama (2),2002
MasterCard Colonial,Nick Price (18),2002
Memorial Tournament,Jim Furyk (7),2002
Kemper Insurance Open,Bob Estes (4),2002
Buick Classic,Chris Smith (1),2002
U.S. Open,Tiger Woods (32),2002
Canon Greater Hartford Open,Phil Mickelson (21),2002
FedEx St. Jude Classic,Len Mattiace (2),2002
Advil Western Open,Jerry Kelly (2),2002
Greater Milwaukee Open,Jeff Sluman (6),2002
The Open Championship,Ernie Els (10),2002
B.C. Open,Spike McRoy (1),2002
John Deere Classic,J. P. Hayes (2),2002
The International,Rich Beem (2),2002
Buick Open,Tiger Woods (33),2002
PGA Championship,Rich Beem (3),2002
WGC-NEC Invitational,Craig Parry (1),2002
Reno–Tahoe Open,Chris Riley (1),2002
Air Canada Championship,Gene Sauers (3),2002
Bell Canadian Open,John Rollins (1),2002
SEI Pennsylvania Classic,Dan Forsman (5),2002
WGC-American Express Championship,Tiger Woods (34),2002
Tampa Bay Classic,K. J. Choi (2),2002
Valero Texas Open,Loren Roberts (8),2002
Michelob Championship at Kingsmill,Charles Howell III (1),2002
Invensys Classic at Las Vegas,Phil Tataurangi (1),2002
Disney Golf Classic,Bob Burns (1),2002
Buick Challenge,Jonathan Byrd (1),2002
The Tour Championship,Vijay Singh (11),2002
Southern Farm Bureau Classic,Luke Donald (1),2002
Mercedes Championships,Ernie Els (11),2003
Sony Open in Hawaii,Ernie Els (12),2003
Phoenix Open,Vijay Singh (12),2003
Bob Hope Chrysler Classic,Mike Weir (4),2003
AT&T Pebble Beach National Pro-Am,Davis Love III (15),2003
Buick Invitational,Tiger Woods (35),2003
Nissan Open,Mike Weir (5),2003
WGC-Accenture Match Play Championship,Tiger Woods (36),2003
Chrysler Classic of Tucson,Frank Lickliter (2),2003
Ford Championship at Doral,Scott Hoch (11),2003
The Honda Classic,Justin Leonard (8),2003
Bay Hill Invitational,Tiger Woods (37),2003
The Players Championship,Davis Love III (16),2003
BellSouth Classic,Ben Crane (1),2003
Masters Tournament,Mike Weir (6),2003
MCI Heritage,Davis Love III (17),2003
Shell Houston Open,Fred Couples (15),2003
HP Classic of New Orleans,Steve Flesch (1),2003
Wachovia Championship,David Toms (8),2003
EDS Byron Nelson Championship,Vijay Singh (13),2003
Bank of America Colonial,Kenny Perry (5),2003
Memorial Tournament,Kenny Perry (6),2003
FBR Capital Open,Rory Sabbatini (2),2003
U.S. Open,Jim Furyk (8),2003
Buick Classic,Jonathan Kaye (1),2003
FedEx St. Jude Classic,David Toms (9),2003
Western Open,Tiger Woods (38),2003
Greater Milwaukee Open,Kenny Perry (7),2003
The Open Championship,Ben Curtis (1),2003
B.C. Open,Craig Stadler (13),2003
Greater Hartford Open,Peter Jacobsen (7),2003
Buick Open,Jim Furyk (9),2003
The International,Davis Love III (18),2003
PGA Championship,Shaun Micheel (1),2003
WGC-NEC Invitational,Darren Clarke (2),2003
Reno–Tahoe Open,Kirk Triplett (2),2003
Deutsche Bank Championship,Adam Scott (1),2003
Bell Canadian Open,Bob Tway (8),2003
John Deere Classic,Vijay Singh (14),2003
84 Lumber Classic of Pennsylvania,J. L. Lewis (2),2003
Valero Texas Open,Tommy Armour III (2),2003
Southern Farm Bureau Classic,John Huston (7),2003
WGC-American Express Championship,Tiger Woods (39),2003
Las Vegas Invitational,Stuart Appleby (4),2003
Chrysler Classic of Greensboro,Shigeki Maruyama (3),2003
Funai Classic at the Walt Disney World Resort,Vijay Singh (15),2003
Chrysler Championship,Retief Goosen (3),2003
The Tour Championship,Chad Campbell (1),2003
Mercedes Championships,Stuart Appleby (5),2004
Sony Open in Hawaii,Ernie Els (13),2004
Bob Hope Chrysler Classic,Phil Mickelson (22),2004
FBR Open,Jonathan Kaye (2),2004
AT&T Pebble Beach National Pro-Am,Vijay Singh (16),2004
Buick Invitational,John Daly (5),2004
Nissan Open,Mike Weir (7),2004
WGC-Accenture Match Play Championship,Tiger Woods (40),2004
Chrysler Classic of Tucson,Heath Slocum (1),2004
Ford Championship at Doral,Craig Parry (2),2004
The Honda Classic,Todd Hamilton (1),2004
Bay Hill Invitational,Chad Campbell (2),2004
The Players Championship,Adam Scott (2),2004
BellSouth Classic,Zach Johnson (1),2004
Masters Tournament,Phil Mickelson (23),2004
MCI Heritage,Stewart Cink (3),2004
Shell Houston Open,Vijay Singh (17),2004
HP Classic of New Orleans,Vijay Singh (18),2004
Wachovia Championship,Joey Sindelar (7),2004
EDS Byron Nelson Championship,Sergio García (4),2004
Bank of America Colonial,Steve Flesch (2),2004
FedEx St. Jude Classic,David Toms (10),2004
Memorial Tournament,Ernie Els (14),2004
Buick Classic,Sergio García (5),2004
U.S. Open,Retief Goosen (4),2004
Booz Allen Classic,Adam Scott (3),2004
Cialis Western Open,Stephen Ames (1),2004
John Deere Classic,Mark Hensby (1),2004
The Open Championship,Todd Hamilton (2),2004
B.C. Open,Jonathan Byrd (2),2004
U.S. Bank Championship in Milwaukee,Carlos Franco (4),2004
Buick Open,Vijay Singh (19),2004
The International,Rod Pampling (1),2004
PGA Championship,Vijay Singh (20),2004
WGC-NEC Invitational,Stewart Cink (4),2004
Reno–Tahoe Open,Vaughn Taylor (1),2004
Buick Championship,Woody Austin (2),2004
Deutsche Bank Championship,Vijay Singh (21),2004
Bell Canadian Open,Vijay Singh (22),2004
Valero Texas Open,Bart Bryant (1),2004
84 Lumber Classic,Vijay Singh (23),2004
WGC-American Express Championship,Ernie Els (15),2004
Southern Farm Bureau Classic,Fred Funk (6),2004
Michelin Championship at Las Vegas,Andre Stolz (1),2004
Chrysler Classic of Greensboro,Brent Geiberger (2),2004
Funai Classic at the Walt Disney World Resort,Ryan Palmer (1),2004
Chrysler Championship,Vijay Singh (24),2004
The Tour Championship,Retief Goosen (5),2004
Mercedes Championships,Stuart Appleby (6),2005
Sony Open in Hawaii,Vijay Singh (25),2005
Buick Invitational,Tiger Woods (41),2005
Bob Hope Chrysler Classic,Justin Leonard (9),2005
FBR Open,Phil Mickelson (24),2005
AT&T Pebble Beach National Pro-Am,Phil Mickelson (25),2005
Nissan Open,Adam Scott (n/a),2005
WGC-Accenture Match Play Championship,David Toms (11),2005
Chrysler Classic of Tucson,Geoff Ogilvy (1),2005
Ford Championship at Doral,Tiger Woods (42),2005
The Honda Classic,Pádraig Harrington (1),2005
Bay Hill Invitational,Kenny Perry (8),2005
The Players Championship,Fred Funk (7),2005
BellSouth Classic,Phil Mickelson (26),2005
Masters Tournament,Tiger Woods (43),2005
MCI Heritage,Peter Lonard (1),2005
Shell Houston Open,Vijay Singh (26),2005
Zurich Classic of New Orleans,Tim Petrovic (1),2005
Wachovia Championship,Vijay Singh (27),2005
EDS Byron Nelson Championship,Ted Purdy (1),2005
Bank of America Colonial,Kenny Perry (8),2005
FedEx St. Jude Classic,Justin Leonard (10),2005
Memorial Tournament,Bart Bryant (2),2005
Booz Allen Classic,Sergio García (6),2005
U.S. Open,Michael Campbell (1),2005
Barclays Classic,Pádraig Harrington (2),2005
Cialis Western Open,Jim Furyk (10),2005
John Deere Classic,Sean O'Hair (1),2005
The Open Championship,Tiger Woods (44),2005
B.C. Open,Jason Bohn (1),2005
U.S. Bank Championship in Milwaukee,Ben Crane (2),2005
Buick Open,Vijay Singh (28),2005
The International,Retief Goosen (6),2005
PGA Championship,Phil Mickelson (27),2005
WGC-NEC Invitational,Tiger Woods (45),2005
Reno–Tahoe Open,Vaughn Taylor (2),2005
Buick Championship,Brad Faxon (8),2005
Deutsche Bank Championship,Olin Browne (3),2005
Bell Canadian Open,Mark Calcavecchia (12),2005
84 Lumber Classic,Jason Gore (1),2005
Valero Texas Open,Robert Gamez (3),2005
Chrysler Classic of Greensboro,K. J. Choi (3),2005
WGC-American Express Championship,Tiger Woods (46),2005
Michelin Championship at Las Vegas,Wes Short Jr. (1),2005
Funai Classic at the Walt Disney World Resort,Lucas Glover (1),2005
Chrysler Championship,Carl Pettersson (1),2005
The Tour Championship,Bart Bryant (3),2005
Southern Farm Bureau Classic,Heath Slocum (2),2005
Mercedes Championships,Stuart Appleby (7),2006
Sony Open in Hawaii,David Toms (12),2006
Bob Hope Chrysler Classic,Chad Campbell (3),2006
Buick Invitational,Tiger Woods (47),2006
FBR Open,J. B. Holmes (1),2006
AT&T Pebble Beach National Pro-Am,Arron Oberholser (1),2006
Nissan Open,Rory Sabbatini (3),2006
WGC-Accenture Match Play Championship,Geoff Ogilvy (2),2006
Chrysler Classic of Tucson,Kirk Triplett (3),2006
Ford Championship at Doral,Tiger Woods (48),2006
The Honda Classic,Luke Donald (2),2006
Bay Hill Invitational,Rod Pampling (2),2006
The Players Championship,Stephen Ames (2),2006
BellSouth Classic,Phil Mickelson (28),2006
Masters Tournament,Phil Mickelson (29),2006
Verizon Heritage,Aaron Baddeley (1),2006
Shell Houston Open,Stuart Appleby (8),2006
Zurich Classic of New Orleans,Chris Couch (1),2006
Wachovia Championship,Jim Furyk (11),2006
EDS Byron Nelson Championship,Brett Wetterich (1),2006
Bank of America Colonial,Tim Herron (4),2006
FedEx St. Jude Classic,Jeff Maggert (3),2006
Memorial Tournament,Carl Pettersson (2),2006
Barclays Classic,Vijay Singh (29),2006
U.S. Open,Geoff Ogilvy (3),2006
Booz Allen Classic,Ben Curtis (2),2006
Buick Championship,J. J. Henry (1),2006
Cialis Western Open,Trevor Immelman (1),2006
John Deere Classic,John Senden (1),2006
The Open Championship,Tiger Woods (49),2006
B.C. Open,John Rollins (2),2006
U.S. Bank Championship in Milwaukee,Corey Pavin (15),2006
Buick Open,Tiger Woods (50),2006
The International,Dean Wilson (1),2006
PGA Championship,Tiger Woods (51),2006
WGC-Bridgestone Invitational,Tiger Woods (52),2006
Reno–Tahoe Open,Will MacKenzie (1),2006
Deutsche Bank Championship,Tiger Woods (53),2006
Canadian Open,Jim Furyk (12),2006
84 Lumber Classic,Ben Curtis (3),2006
Valero Texas Open,Eric Axley (1),2006
WGC-American Express Championship,Tiger Woods (54),2006
Southern Farm Bureau Classic,D. J. Trahan (1),2006
Chrysler Classic of Greensboro,Davis Love III (19),2006
Frys.com Open,Troy Matteson (1),2006
Funai Classic at the Walt Disney World Resort,Joe Durant (4),2006
Chrysler Championship,K. J. Choi (4),2006
The Tour Championship,Adam Scott (4),2006
Mercedes-Benz Championship,Vijay Singh (30),2007
Sony Open in Hawaii,Paul Goydos (2),2007
Bob Hope Chrysler Classic,Charley Hoffman (1),2007
Buick Invitational,Tiger Woods (55),2007
FBR Open,Aaron Baddeley (2),2007
AT&T Pebble Beach National Pro-Am,Phil Mickelson (30),2007
Nissan Open,Charles Howell III (2),2007
WGC-Accenture Match Play Championship,Henrik Stenson (1),2007
Mayakoba Golf Classic,Fred Funk (8),2007
The Honda Classic,Mark Wilson (1),2007
PODS Championship,Mark Calcavecchia (13),2007
Arnold Palmer Invitational,Vijay Singh (31),2007
WGC-CA Championship,Tiger Woods (56),2007
Shell Houston Open,Adam Scott (5),2007
Masters Tournament,Zach Johnson (2),2007
Verizon Heritage,Boo Weekley (1),2007
Zurich Classic of New Orleans,Nick Watney (1),2007
EDS Byron Nelson Championship,Scott Verplank (5),2007
Wachovia Championship,Tiger Woods (57),2007
The Players Championship,Phil Mickelson (31),2007
AT&T Classic,Zach Johnson (3),2007
Crowne Plaza Invitational at Colonial,Rory Sabbatini (4),2007
Memorial Tournament,K. J. Choi (5),2007
Stanford St. Jude Championship,Woody Austin (3),2007
U.S. Open,Ángel Cabrera (1),2007
Travelers Championship,Hunter Mahan (1),2007
Buick Open,Brian Bateman (1),2007
AT&T National,K. J. Choi (6),2007
John Deere Classic,Jonathan Byrd (3),2007
The Open Championship,Pádraig Harrington (3),2007
U.S. Bank Championship in Milwaukee,Joe Ogilvie (1),2007
Canadian Open,Jim Furyk (13),2007
WGC-Bridgestone Invitational,Tiger Woods (58),2007
Reno–Tahoe Open,Steve Flesch (3),2007
PGA Championship,Tiger Woods (59),2007
Wyndham Championship,Brandt Snedeker (1),2007
The Barclays,Steve Stricker (4),2007
Deutsche Bank Championship,Phil Mickelson (32),2007
BMW Championship,Tiger Woods (60),2007
The Tour Championship,Tiger Woods (61),2007
Turning Stone Resort Championship,Steve Flesch (4),2007
Viking Classic,Chad Campbell (4),2007
Valero Texas Open,Justin Leonard (11),2007
Frys.com Open,George McNeill (1),2007
Fry's Electronics Open,Mike Weir (8),2007
Ginn sur Mer Classic,Daniel Chopra (1),2007
Children's Miracle Network Classic,Stephen Ames (3),2007
Mercedes-Benz Championship,Daniel Chopra (2),2008
Sony Open in Hawaii,K. J. Choi (7),2008
Bob Hope Chrysler Classic,D. J. Trahan (2),2008
Buick Invitational,Tiger Woods (62),2008
FBR Open,J. B. Holmes (2),2008
AT&T Pebble Beach National Pro-Am,Steve Lowery (3),2008
Northern Trust Open,Phil Mickelson (33),2008
WGC-Accenture Match Play Championship,Tiger Woods (63),2008
Mayakoba Golf Classic,Brian Gay (1),2008
The Honda Classic,Ernie Els (16),2008
PODS Championship,Sean O'Hair (2),2008
Arnold Palmer Invitational,Tiger Woods (64),2008
WGC-CA Championship,Geoff Ogilvy (4),2008
Puerto Rico Open,Greg Kraft (1),2008
Zurich Classic of New Orleans,Andrés Romero (1),2008
Shell Houston Open,Johnson Wagner (1),2008
Masters Tournament,Trevor Immelman (2),2008
Verizon Heritage,Boo Weekley (2),2008
EDS Byron Nelson Championship,Adam Scott (6),2008
Wachovia Championship,Anthony Kim (1),2008
The Players Championship,Sergio García (7),2008
AT&T Classic,Ryuji Imada (1),2008
Crowne Plaza Invitational at Colonial,Phil Mickelson (34),2008
Memorial Tournament,Kenny Perry (10),2008
Stanford St. Jude Championship,Justin Leonard (12),2008
U.S. Open,Tiger Woods (65),2008
Travelers Championship,Stewart Cink (5),2008
Buick Open,Kenny Perry (11),2008
AT&T National,Anthony Kim (2),2008
John Deere Classic,Kenny Perry (12),2008
The Open Championship,Pádraig Harrington (4),2008
U.S. Bank Championship in Milwaukee,Richard S. Johnson (1),2008
RBC Canadian Open,Chez Reavie (1),2008
WGC-Bridgestone Invitational,Vijay Singh (32),2008
Legends Reno–Tahoe Open,Parker McLachlin (1),2008
PGA Championship,Pádraig Harrington (5),2008
Wyndham Championship,Carl Pettersson (3),2008
The Barclays,Vijay Singh (33),2008
Deutsche Bank Championship,Vijay Singh (34),2008
BMW Championship,Camilo Villegas (1),2008
Viking Classic,Will MacKenzie (2),2008
The Tour Championship,Camilo Villegas (2),2008
Turning Stone Resort Championship,Dustin Johnson (1),2008
Valero Texas Open,Zach Johnson (4),2008
Justin Timberlake Shriners Hospitals for Children Open,Marc Turnesa (1),2008
Frys.com Open,Cameron Beckman (2),2008
Ginn sur Mer Classic,Ryan Palmer (2),2008
Children's Miracle Network Classic,Davis Love III (20),2008
Mercedes-Benz Championship,Geoff Ogilvy (5),2009
Sony Open in Hawaii,Zach Johnson (5),2009
Bob Hope Classic,Pat Perez (1),2009
FBR Open,Kenny Perry (13),2009
Buick Invitational,Nick Watney (2),2009
AT&T Pebble Beach National Pro-Am,Dustin Johnson (2),2009
Northern Trust Open,Phil Mickelson (35),2009
WGC-Accenture Match Play Championship,Geoff Ogilvy (6),2009
Mayakoba Golf Classic,Mark Wilson (2),2009
The Honda Classic,Yang Yong-eun (1),2009
WGC-CA Championship,Phil Mickelson (36),2009
Puerto Rico Open,Michael Bradley (3),2009
Transitions Championship,Retief Goosen (7),2009
Arnold Palmer Invitational,Tiger Woods (66),2009
Shell Houston Open,Paul Casey (1),2009
Masters Tournament,Ángel Cabrera (2),2009
Verizon Heritage,Brian Gay (2),2009
Zurich Classic of New Orleans,Jerry Kelly (3),2009
Quail Hollow Championship,Sean O'Hair (3),2009
The Players Championship,Henrik Stenson (2),2009
Valero Texas Open,Zach Johnson (6),2009
HP Byron Nelson Championship,Rory Sabbatini (5),2009
Crowne Plaza Invitational at Colonial,Steve Stricker (5),2009
Memorial Tournament,Tiger Woods (67),2009
St. Jude Classic,Brian Gay (3),2009
U.S. Open,Lucas Glover (2),2009
Travelers Championship,Kenny Perry (14),2009
AT&T National,Tiger Woods (68),2009
John Deere Classic,Steve Stricker (6),2009
The Open Championship,Stewart Cink (6),2009
U.S. Bank Championship in Milwaukee,Bo Van Pelt (1),2009
RBC Canadian Open,Nathan Green (1),2009
Buick Open,Tiger Woods (69),2009
WGC-Bridgestone Invitational,Tiger Woods (70),2009
Legends Reno–Tahoe Open,John Rollins (3),2009
PGA Championship,Yang Yong-eun (2),2009
Wyndham Championship,Ryan Moore (1),2009
The Barclays,Heath Slocum (3),2009
Deutsche Bank Championship,Steve Stricker (7),2009
BMW Championship,Tiger Woods (71),2009
The Tour Championship,Phil Mickelson (37),2009
Turning Stone Resort Championship,Matt Kuchar (2),2009
Justin Timberlake Shriners Hospitals for Children Open,Martin Laird (1),2009
Frys.com Open,Troy Matteson (2),2009
Viking Classic,Canceled,2009
Children's Miracle Network Classic,Stephen Ames (4),2009
SBS Championship,Geoff Ogilvy (7),2010
Sony Open in Hawaii,Ryan Palmer (3),2010
Bob Hope Classic,Bill Haas (1),2010
Farmers Insurance Open,Ben Crane (3),2010
Northern Trust Open,Steve Stricker (8),2010
AT&T Pebble Beach National Pro-Am,Dustin Johnson (3),2010
WGC-Accenture Match Play Championship,Ian Poulter (1),2010
Mayakoba Golf Classic,Cameron Beckman (3),2010
Waste Management Phoenix Open,Hunter Mahan (2),2010
The Honda Classic,Camilo Villegas (3),2010
WGC-CA Championship,Ernie Els (17),2010
Puerto Rico Open,Derek Lamely (1),2010
Transitions Championship,Jim Furyk (14),2010
Arnold Palmer Invitational,Ernie Els (18),2010
Shell Houston Open,Anthony Kim (3),2010
Masters Tournament,Phil Mickelson (38),2010
