Player,Year,Rounds,Avg_Drive_Distance,GIR_Percentage,SG_Total,Scoring_Avg,Money,Wins,Tournaments_Won
DAVID TOMS,2013.0,49.0,277.4,63.64,-0.679,71.134,646161.0,0,
DEREK ERNST,2013.0,58.0,291.5,63.89,-1.075,72.271,1330856.0,1,Wells Fargo Championship
DICKY PRIDE,2013.0,71.0,274.8,64.43,-0.361,71.293,495390.0,0,
DOUG LABELLE II,2013.0,72.0,280.1,64.37,-0.386,71.317,338921.0,0,
DUSTIN JOHNSON,2013.0,71.0,305.8,66.75,0.805,70.115,2963214.0,1,Hyundai Tournament of Champions
ERIC MEIERDIERKS,2013.0,48.0,301.9,66.55,-1.476,72.414,58029.0,0,
ERIK COMPTON,2013.0,74.0,292.7,65.09,-0.193,71.011,651660.0,0,
ERNIE ELS,2013.0,63.0,289.6,61.74,0.308,70.491,1173761.0,0,
FABIÃÂ¡N GÃÂ³MEZ,2013.0,65.0,289.5,64.1,-0.248,71.33,586942.0,0,
FREDDIE JACOBSON,2013.0,63.0,287.3,61.67,1.075,70.108,1236722.0,0,
GARY WOODLAND,2013.0,94.0,303.8,66.98,0.459,70.733,1915732.0,1,RenoâTahoe Open
GEOFF OGILVY,2013.0,57.0,285.1,62.18,-0.649,71.588,892920.0,0,
GEORGE MCNEILL,2013.0,68.0,286.0,65.28,0.185,70.876,500798.0,0,
GRAEME MCDOWELL,2013.0,53.0,277.5,62.7,0.543,70.503,2174595.0,1,RBC Heritage
GRAHAM DELAET,2013.0,94.0,298.6,70.51,1.069,70.089,2834900.0,0,
GREG CHALMERS,2013.0,77.0,276.8,61.64,-0.033,71.228,632283.0,0,
GREG OWEN,2013.0,73.0,292.8,65.73,-0.615,71.554,442198.0,0,
HARRIS ENGLISH,2013.0,95.0,295.2,66.02,0.613,70.438,2201167.0,1,FedEx St. Jude Classic
HENRIK NORLANDER,2013.0,70.0,295.0,67.4,-0.254,71.36,401958.0,0,
HENRIK STENSON,2013.0,65.0,290.9,71.96,1.618,69.248,6388230.0,2,"Deutsche Bank Championship, Tour Championship"
HUNTER MAHAN,2013.0,91.0,290.0,67.58,1.134,70.106,3036164.0,0,
IAN POULTER,2013.0,59.0,281.7,63.52,0.514,70.382,1723463.0,0,
J.J. HENRY,2013.0,83.0,284.7,67.97,0.072,70.992,761861.0,0,
JAMES DRISCOLL,2013.0,76.0,287.1,63.81,0.389,70.888,821101.0,0,
JAMES HAHN,2013.0,78.0,293.3,64.71,-0.067,71.222,853507.0,0,
JASON BOHN,2013.0,70.0,276.3,64.44,-0.033,71.101,739030.0,0,
JASON DAY,2013.0,86.0,299.3,64.93,0.976,69.732,3625030.0,0,
JASON DUFNER,2013.0,78.0,285.9,67.53,0.581,69.912,3132268.0,1,PGA Championship
JASON KOKRAK,2013.0,78.0,303.2,65.67,0.19,70.924,1267525.0,0,
JEFF MAGGERT,2013.0,63.0,277.6,66.58,-0.267,71.208,1022331.0,0,
JEFF OVERTON,2013.0,78.0,292.4,64.89,0.327,70.863,721723.0,0,
JERRY KELLY,2013.0,75.0,273.2,65.41,0.592,70.522,832407.0,0,
JIM FURYK,2013.0,80.0,275.3,68.3,1.389,69.828,3204779.0,0,
JIM HERMAN,2013.0,59.0,299.2,67.98,0.053,71.045,490756.0,0,
JIMMY WALKER,2013.0,84.0,298.5,66.07,0.93,70.332,2117570.0,0,
JIN PARK,2013.0,52.0,273.2,63.44,-0.512,71.777,136457.0,0,
JOHN HUH,2013.0,88.0,282.0,66.6,0.298,70.758,1529482.0,0,
JOHN MERRICK,2013.0,79.0,284.3,66.53,0.517,70.736,1969478.0,1,Northern Trust Open
JOHN ROLLINS,2013.0,77.0,295.6,67.43,0.227,70.779,1164049.0,0,
JOHN SENDEN,2013.0,79.0,289.3,65.95,0.078,70.97,667027.0,0,
JOHNSON WAGNER,2013.0,64.0,278.6,64.35,-0.946,72.013,801955.0,0,
JONAS BLIXT,2013.0,76.0,283.7,60.89,-0.403,71.11,2027517.0,1,Greenbrier Classic
JORDAN SPIETH,2013.0,82.0,289.4,66.94,1.473,69.668,3879820.0,1,John Deere Classic
JOSH TEATER,2013.0,86.0,293.7,66.53,0.338,70.904,1332652.0,0,
JUSTIN BOLLI,2013.0,59.0,279.1,61.11,-1.232,72.034,545187.0,0,
JUSTIN HICKS,2013.0,79.0,280.0,68.59,-0.139,71.138,732742.0,0,
JUSTIN LEONARD,2013.0,86.0,276.3,63.11,0.115,70.863,694139.0,0,
JUSTIN ROSE,2013.0,62.0,296.6,68.89,1.723,69.225,4146148.0,1,U.S. Open
K.J. CHOI,2013.0,85.0,278.3,65.87,0.845,70.322,973751.0,0,
KEEGAN BRADLEY,2013.0,88.0,300.6,66.54,1.403,69.724,3636813.0,0,
KEN DUKE,2013.0,87.0,275.1,63.09,-0.065,71.025,1722583.0,1,Travelers Championship
KEVIN CHAPPELL,2013.0,80.0,292.9,66.11,0.384,70.927,1589839.0,0,
KEVIN STADLER,2013.0,83.0,289.8,68.92,0.467,70.632,1281177.0,0,
KEVIN STREELMAN,2013.0,86.0,287.5,66.41,0.858,70.267,3088284.0,1,Tampa Bay Championship
KYLE STANLEY,2013.0,71.0,298.1,67.37,-0.332,71.842,1462943.0,0,
LEE WESTWOOD,2013.0,70.0,290.3,65.22,0.604,70.158,2081731.0,0,
LEE WILLIAMS,2013.0,62.0,275.6,61.67,-0.79,71.792,133755.0,0,
LUCAS GLOVER,2013.0,65.0,293.7,66.41,-0.086,71.577,747812.0,0,
LUKE DONALD,2013.0,60.0,278.1,62.16,1.279,69.793,1930646.0,0,
LUKE GUTHRIE,2013.0,82.0,283.5,63.62,0.015,71.139,991902.0,0,
LUKE LIST,2013.0,65.0,306.3,62.39,-1.344,72.444,264401.0,0,
MARC LEISHMAN,2013.0,77.0,286.6,65.08,0.318,70.532,1491359.0,0,
MARK WILSON,2013.0,56.0,278.0,66.24,0.3,70.916,913730.0,0,
MARTIN FLORES,2013.0,83.0,300.4,65.53,0.426,70.676,805597.0,0,
MARTIN KAYMER,2013.0,61.0,288.4,64.85,0.135,70.559,882937.0,0,
MARTIN LAIRD,2013.0,68.0,293.4,63.64,0.009,71.029,1755393.0,1,Valero Texas Open
MATT EVERY,2013.0,89.0,288.1,65.54,0.293,71.023,1188867.0,0,
MATT JONES,2013.0,83.0,292.3,66.0,0.885,70.245,1724707.0,0,
MATT KUCHAR,2013.0,93.0,284.9,65.84,1.398,69.561,5616808.0,2,"WGC-Accenture Match Play Championship, Memorial Tournament"
MICHAEL BRADLEY,2013.0,56.0,285.3,66.13,-1.319,72.345,79107.0,0,
MICHAEL THOMPSON,2013.0,66.0,279.4,61.78,-0.511,71.298,1707637.0,1,The Honda Classic
MIKE WEIR,2013.0,60.0,270.5,56.9,-0.771,71.643,194510.0,0,
MORGAN HOFFMANN,2013.0,64.0,295.4,64.67,0.318,70.613,871003.0,0,
NICHOLAS THOMPSON,2013.0,99.0,291.6,67.85,0.225,70.92,959434.0,0,
NICK WATNEY,2013.0,88.0,291.2,68.48,0.512,70.78,2477639.0,0,
NICOLAS COLSAERTS,2013.0,50.0,305.7,66.78,-0.268,71.088,720164.0,0,
PADRAIG HARRINGTON,2013.0,52.0,288.3,60.88,-0.089,71.017,711244.0,0,
PAT PEREZ,2013.0,69.0,290.1,67.87,0.284,70.835,974800.0,0,
PATRICK REED,2013.0,83.0,292.0,63.79,0.122,70.807,1961519.0,1,Wyndham Championship
PETER HANSON,2013.0,45.0,295.3,61.24,0.508,70.368,610178.0,0,
PHIL MICKELSON,2013.0,78.0,287.9,66.67,1.436,69.742,5495793.0,2,"Waste Management Phoenix Open, The Open Championship"
RICHARD LEE,2013.0,81.0,279.1,66.52,0.313,70.912,920836.0,0,
RICKIE FOWLER,2013.0,75.0,286.4,63.59,0.783,70.212,1816742.0,0,
RICKY BARNES,2013.0,74.0,289.4,70.48,-0.278,71.341,553878.0,0,
ROBERT ALLENBY,2013.0,58.0,284.9,62.4,-0.859,72.056,204272.0,0,
ROBERT GARRIGUS,2013.0,69.0,302.4,66.15,0.116,71.058,1132355.0,0,
ROBERT KARLSSON,2013.0,56.0,287.2,63.14,-0.286,71.482,444238.0,0,
ROBERT STREB,2013.0,75.0,297.7,65.57,-0.231,71.089,454871.0,0,
ROBERTO CASTRO,2013.0,97.0,282.3,67.3,0.466,70.494,2154898.0,0,
ROD PAMPLING,2013.0,46.0,282.6,64.55,-0.857,71.943,110451.0,0,
RORY MCILROY,2013.0,56.0,302.2,65.45,0.985,70.288,1802443.0,0,
RORY SABBATINI,2013.0,86.0,293.1,67.75,0.469,70.511,1327822.0,0,
RUSSELL HENLEY,2013.0,80.0,289.0,64.25,0.754,70.57,2008026.0,1,Sony Open in Hawaii
RYAN MOORE,2013.0,72.0,282.3,64.32,0.35,70.825,1490265.0,0,
RYAN PALMER,2013.0,79.0,301.5,66.24,0.883,70.167,1521592.0,0,
RYO ISHIKAWA,2013.0,72.0,291.3,66.03,-0.547,71.515,424541.0,0,
SANGMOON BAE,2013.0,83.0,285.3,63.72,-0.116,71.111,1714640.0,0,
SCOTT BROWN,2013.0,65.0,289.5,64.1,-0.067,71.25,1012142.0,1,Puerto Rico Open
SCOTT GARDINER,2013.0,61.0,288.4,64.12,-0.979,72.082,219645.0,0,
SCOTT LANGLEY,2013.0,79.0,278.9,64.0,-0.171,71.269,590684.0,0,
SCOTT PIERCY,2013.0,78.0,298.2,62.3,-0.083,71.273,1830084.0,0,
SCOTT STALLINGS,2013.0,79.0,295.7,64.63,-0.235,71.135,1622627.0,0,
SEAN O'HAIR,2013.0,56.0,299.7,62.0,-1.022,72.107,268614.0,0,
SERGIO GARCIA,2013.0,65.0,291.0,67.46,1.519,69.543,2251139.0,0,
SEUNG-YUL NOH,2013.0,71.0,298.8,64.26,-0.472,71.625,391763.0,0,
SHAWN STEFANI,2013.0,63.0,297.2,63.67,-0.235,71.114,511399.0,0,
STEPHEN AMES,2013.0,49.0,280.7,61.11,-0.584,71.454,188987.0,0,
STEVE LEBRUN,2013.0,66.0,294.1,67.47,-0.398,71.551,337157.0,0,
STEVE STRICKER,2013.0,51.0,283.6,71.16,2.193,68.893,4440532.0,0,
STEVEN BOWDITCH,2013.0,67.0,300.2,61.97,-0.329,71.335,697775.0,0,
STEWART CINK,2013.0,71.0,290.0,67.76,0.416,70.633,1052712.0,0,
STUART APPLEBY,2013.0,88.0,284.7,65.21,0.241,70.834,538333.0,0,
TAG RIDINGS,2013.0,69.0,299.6,65.81,-0.171,71.162,428922.0,0,
"TED POTTER, JR.",2013.0,65.0,280.3,64.48,0.406,70.615,829770.0,0,
TIGER WOODS,2013.0,61.0,293.2,67.59,2.064,68.944,8553439.0,5,"Farmers Insurance Open, WGC-Cadillac Championship, Arnold Palmer Invitational, The Players Championship, WGC-Bridgestone Invitational"
TIM CLARK,2013.0,64.0,273.9,62.02,0.144,70.693,1355952.0,0,
TIM HERRON,2013.0,45.0,283.6,59.75,-0.338,71.479,302570.0,0,
TOM GILLIS,2013.0,69.0,286.3,60.68,-0.543,71.559,345325.0,0,
TOMMY GAINEY,2013.0,84.0,291.0,61.04,-0.781,71.892,520479.0,0,
TREVOR IMMELMAN,2013.0,73.0,283.6,66.51,-0.291,71.491,360549.0,0,
TROY MATTESON,2013.0,68.0,294.1,64.81,-0.61,71.889,245090.0,0,
VAUGHN TAYLOR,2013.0,50.0,289.8,63.53,-0.038,70.897,399286.0,0,
VIJAY SINGH,2013.0,61.0,288.1,69.13,-0.025,70.995,309351.0,0,
WEBB SIMPSON,2013.0,92.0,285.4,66.67,1.271,69.783,2957582.0,0,
WILL CLAXTON,2013.0,67.0,284.9,65.7,-0.804,71.889,206722.0,0,
WILLIAM MCGIRT,2013.0,75.0,281.8,65.33,0.068,71.0,867384.0,0,
Y.E. YANG,2013.0,56.0,286.7,62.7,-0.573,71.348,259118.0,0,
ZACH JOHNSON,2013.0,84.0,278.8,68.14,0.844,70.073,4044509.0,1,BMW Championship
Ã?NGEL CABRERA,2013.0,73.0,294.0,64.99,0.063,70.897,1791183.0,0,
ÃÂNGEL CABRERA,2013.0,73.0,294.0,64.99,0.063,70.89699999999999,1791183.0,0,
AARON BADDELEY,2014.0,74.0,293.8,59.8,0.044,70.796,942559.0,0,
ADAM SCOTT,2014.0,68.0,303.5,68.79,1.72,69.205,4098588.0,1,Crowne Plaza Invitational at Colonial
ANDRES ROMERO,2014.0,81.0,294.6,60.53,0.145,70.852,782184.0,0,
ANDREW LOUPE,2014.0,65.0,308.0,63.11,-0.136,71.142,563121.0,0,
ANDREW SVOBODA,2014.0,77.0,287.4,68.11,0.344,70.713,1168073.0,0,
BEN CRANE,2014.0,81.0,279.0,63.44,-0.152,70.954,1534634.0,1,FedEx St. Jude Classic
BEN CURTIS,2014.0,77.0,279.5,62.63,-0.216,71.354,625515.0,0,
BEN MARTIN,2014.0,80.0,291.7,66.04,0.421,70.732,1482836.0,0,
BILL HAAS,2014.0,107.0,291.9,68.62,1.09,70.132,2841521.0,0,
BILLY HORSCHEL,2014.0,92.0,291.6,70.43,0.738,70.521,4814787.0,2,"BMW Championship, Tour Championship"
BILLY HURLEY III,2014.0,86.0,276.7,65.89,0.309,70.696,1145299.0,0,
BO VAN PELT,2014.0,83.0,291.3,68.61,0.378,70.827,982218.0,0,
BOO WEEKLEY,2014.0,73.0,288.3,68.06,-0.277,71.307,832673.0,0,
BRAD FRITSCH,2014.0,50.0,294.4,65.05,0.06,70.888,568391.0,0,
BRANDT SNEDEKER,2014.0,89.0,285.6,63.28,0.644,70.671,1652380.0,0,
BRENDAN STEELE,2014.0,89.0,298.9,66.47,0.519,70.798,1359890.0,0,
BRENDON DE JONGE,2014.0,109.0,287.9,64.48,0.224,70.801,1171395.0,0,
BRENDON TODD,2014.0,108.0,280.3,63.99,0.793,70.049,3396747.0,1,HP Byron Nelson Championship
BRIAN DAVIS,2014.0,93.0,278.2,61.47,0.061,71.232,842539.0,0,
BRIAN GAY,2014.0,81.0,271.6,59.21,-0.465,71.493,605368.0,0,
BRIAN HARMAN,2014.0,111.0,289.0,64.26,0.515,70.391,2414334.0,1,John Deere Classic
BRIAN STUARD,2014.0,91.0,283.4,63.86,0.326,70.549,1852531.0,0,
BRICE GARNETT,2014.0,92.0,289.3,65.15,-0.147,71.039,617805.0,0,
BRINY BAIRD,2014.0,50.0,281.6,63.44,-0.575,71.679,616316.0,0,
BRONSON LA'CASSIE,2014.0,51.0,284.9,61.35,-0.519,71.772,160632.0,0,
BROOKS KOEPKA,2014.0,56.0,307.0,64.98,0.958,70.05199999999999,,0,
BRYCE MOLDER,2014.0,77.0,278.7,63.93,-0.233,71.112,828605.0,0,
BUBBA WATSON,2014.0,76.0,314.3,67.96,1.352,69.712,6336978.0,2,"Northern Trust Open, Masters Tournament"
BUD CAULEY,2014.0,56.0,293.4,67.46,-0.105,71.06,647886.0,0,
CAMERON TRINGALE,2014.0,111.0,282.9,66.77,0.668,70.63,2169723.0,0,
CAMILO VILLEGAS,2014.0,95.0,292.5,66.96,0.315,70.716,1642124.0,1,Wyndham Championship
CARL PETTERSSON,2014.0,91.0,295.5,66.67,0.259,70.52,1348393.0,0,
CHAD CAMPBELL,2014.0,57.0,287.8,72.43,0.275,70.59,470798.0,0,
CHAD COLLINS,2014.0,78.0,275.4,59.98,-0.446,71.315,408434.0,0,
CHARL SCHWARTZEL,2014.0,64.0,297.8,63.53,1.341,69.671,1997482.0,0,
CHARLES HOWELL III,2014.0,106.0,304.1,67.66,0.755,70.134,1997044.0,0,
CHARLEY HOFFMAN,2014.0,93.0,299.2,67.08,0.956,70.464,1977296.0,0,
CHARLIE BELJAN,2014.0,76.0,303.8,65.2,-0.289,71.28,712652.0,0,
CHARLIE WI,2014.0,72.0,281.0,60.87,-0.108,71.067,384796.0,0,
CHESSON HADLEY,2014.0,84.0,290.6,63.03,-0.14,71.212,1703316.0,1,Puerto Rico Open
CHRIS KIRK,2014.0,105.0,291.0,63.46,0.862,70.15,4854777.0,2,"McGladrey Classic, Deutsche Bank Championship"
CHRIS STROUD,2014.0,88.0,285.8,65.21,0.418,70.476,1826399.0,0,
D.A. POINTS,2014.0,75.0,284.5,62.71,-1.097,72.239,364653.0,0,
D.H. LEE,2014.0,54.0,276.2,59.89,-0.796,71.914,138642.0,0,
DANIEL SUMMERHAYS,2014.0,98.0,282.2,66.89,0.675,70.566,1509543.0,0,
DANNY LEE,2014.0,84.0,284.2,64.44,0.018,70.802,781295.0,0,
DAVID HEARN,2014.0,97.0,279.1,66.38,0.451,70.83,1138324.0,0,
DAVID LINGMERTH,2014.0,80.0,289.8,63.3,-0.307,71.469,676661.0,0,
DAVID TOMS,2014.0,64.0,275.1,68.73,0.46,70.35,801355.0,0,
DAVIS LOVE III,2014.0,74.0,296.3,64.51,-0.418,71.364,284800.0,0,
DEREK ERNST,2014.0,80.0,297.0,63.52,-1.356,72.593,305654.0,0,
DUSTIN JOHNSON,2014.0,58.0,311.0,68.03,1.331,69.546,4249180.0,1,WGC-HSBC Champions
ERIK COMPTON,2014.0,88.0,283.3,63.07,0.023,70.829,1796143.0,0,
ERNIE ELS,2014.0,85.0,291.2,61.6,0.483,70.736,1799569.0,0,
FREDDIE JACOBSON,2014.0,91.0,284.6,62.58,0.411,70.604,1901789.0,0,
GARY WOODLAND,2014.0,93.0,304.1,66.55,0.9,70.249,2734153.0,0,
GEOFF OGILVY,2014.0,84.0,292.5,64.51,-0.363,71.422,1809632.0,1,Barracuda Championship
GEORGE MCNEILL,2014.0,79.0,286.1,66.17,0.799,70.248,2014357.0,0,
GONZALO FERNANDEZ-CASTAÃÂ±O,2014.0,83.0,288.1,60.84,-0.211,71.294,926493.0,0,
GRAEME MCDOWELL,2014.0,66.0,278.0,65.77,1.171,69.642,2077387.0,0,
GRAHAM DELAET,2014.0,80.0,303.4,70.68,1.168,69.943,2616518.0,0,
GREG CHALMERS,2014.0,85.0,280.7,59.88,-0.133,71.251,578979.0,0,
HARRIS ENGLISH,2014.0,95.0,299.2,68.36,0.677,70.094,2947322.0,1,OHL Classic at Mayakoba
HEATH SLOCUM,2014.0,71.0,277.8,67.31,0.249,70.737,566167.0,0,
HENRIK STENSON,2014.0,56.0,293.2,69.03,0.992,70.166,1894235.0,0,
HIDEKI MATSUYAMA,2014.0,82.0,294.8,64.03,1.152,70.083,2837477.0,1,Memorial Tournament
HUDSON SWAFFORD,2014.0,75.0,297.5,68.78,-0.316,71.167,513883.0,0,
HUNTER MAHAN,2014.0,88.0,295.8,66.67,0.52,70.574,3097983.0,1,The Barclays
IAN POULTER,2014.0,57.0,288.1,62.4,-0.038,70.722,1616693.0,0,
J.B. HOLMES,2014.0,86.0,308.0,60.92,0.401,70.721,2365204.0,0,
J.J. HENRY,2014.0,91.0,290.7,69.6,-0.219,71.064,554615.0,0,
JAMES DRISCOLL,2014.0,71.0,284.2,60.88,-0.835,71.454,371404.0,0,
JAMES HAHN,2014.0,82.0,289.6,63.96,-0.236,71.186,735259.0,0,
JAMIE LOVEMARK,2014.0,64.0,302.4,64.91,-0.351,71.345,305944.0,0,
JASON BOHN,2014.0,81.0,280.0,64.75,-0.127,70.892,1585189.0,0,
JASON DAY,2014.0,54.0,301.2,64.0,1.389,69.626,3789574.0,1,WGC-Accenture Match Play Championship
JASON DUFNER,2014.0,57.0,285.3,66.26,0.522,70.9,1651491.0,0,
JASON KOKRAK,2014.0,65.0,303.4,65.38,0.908,70.307,1200381.0,0,
JEFF MAGGERT,2014.0,54.0,276.6,65.74,-0.748,71.612,360157.0,0,
JEFF OVERTON,2014.0,80.0,287.5,65.79,0.061,70.734,1115467.0,0,
JERRY KELLY,2014.0,80.0,277.5,65.56,0.527,70.349,1451059.0,0,
JHONATTAN VEGAS,2014.0,77.0,304.8,69.11,-0.056,71.022,751763.0,0,
JIM FURYK,2014.0,84.0,279.3,68.75,1.796,69.2,5987395.0,0,
JIM HERMAN,2014.0,62.0,294.7,66.38,-0.85,71.619,187337.0,0,
JIM RENNER,2014.0,61.0,288.2,62.71,-1.013,71.843,763978.0,0,
JIMMY WALKER,2014.0,98.0,301.0,67.59,1.253,69.789,5787016.0,3,"Frys.com Open, Sony Open in Hawaii, AT&T Pebble Beach National Pro-Am"
JOHN HUH,2014.0,87.0,283.9,64.39,-0.169,71.24,974043.0,0,
JOHN MERRICK,2014.0,87.0,285.3,68.07,-0.517,71.852,516148.0,0,
JOHN PETERSON,2014.0,62.0,288.1,65.56,-0.48,71.47,238230.0,0,
JOHN ROLLINS,2014.0,84.0,290.1,64.86,-0.647,71.932,289757.0,0,
JOHN SENDEN,2014.0,99.0,288.9,67.85,0.805,70.27,2856685.0,1,Valspar Championship
JOHNSON WAGNER,2014.0,69.0,287.1,64.1,-0.565,71.444,393729.0,0,
JONAS BLIXT,2014.0,64.0,286.1,61.11,-0.209,71.581,1342198.0,0,
JONATHAN BYRD,2014.0,76.0,288.1,64.89,-0.298,71.083,617014.0,0,
JORDAN SPIETH,2014.0,102.0,289.7,62.47,0.98,69.946,4342748.0,0,
JOSH TEATER,2014.0,90.0,294.6,65.09,-0.143,71.301,366241.0,0,
JUSTIN HICKS,2014.0,103.0,285.1,71.44,0.066,70.836,1544061.0,0,
JUSTIN LEONARD,2014.0,75.0,270.3,57.78,-0.181,70.895,807949.0,0,
JUSTIN ROSE,2014.0,70.0,295.1,66.91,1.466,69.624,3926768.0,1,Quicken Loans National
K.J. CHOI,2014.0,80.0,279.8,62.08,0.293,70.87,1677848.0,0,
KEEGAN BRADLEY,2014.0,89.0,302.2,66.67,0.994,70.031,2828638.0,0,
KEN DUKE,2014.0,80.0,275.5,67.17,-0.178,71.137,455589.0,0,
KEVIN CHAPPELL,2014.0,100.0,296.2,67.59,0.692,70.466,1343412.0,0,
KEVIN KISNER,2014.0,85.0,287.8,65.29,0.397,70.718,954497.0,0,
KEVIN NA,2014.0,94.0,280.3,64.72,0.954,69.996,3153107.0,0,
KEVIN STADLER,2014.0,90.0,291.6,68.91,0.411,70.62,2300307.0,1,Waste Management Phoenix Open
KEVIN STREELMAN,2014.0,79.0,288.6,63.25,0.074,71.354,2107994.0,1,Travelers Championship
KEVIN TWAY,2014.0,64.0,294.5,64.35,-0.834,71.912,167278.0,0,
KYLE STANLEY,2014.0,87.0,297.5,66.87,-0.834,71.745,473581.0,0,
LEE WESTWOOD,2014.0,57.0,292.3,63.69,0.646,70.738,1223104.0,0,
LOUIS OOSTHUIZEN,2014.0,50.0,300.5,66.43,-0.217,70.852,946134.0,0,
LUCAS GLOVER,2014.0,68.0,300.6,67.0,-0.936,72.233,210166.0,0,
LUKE DONALD,2014.0,57.0,278.1,63.0,0.69,70.735,1451440.0,0,
LUKE GUTHRIE,2014.0,85.0,287.6,63.53,0.299,70.638,840555.0,0,
MARC LEISHMAN,2014.0,81.0,297.6,65.21,0.749,70.152,2558657.0,0,
MARK WILSON,2014.0,69.0,279.6,63.25,-0.804,71.732,155313.0,0,
MARTIN FLORES,2014.0,85.0,296.0,66.54,0.218,71.199,1035447.0,0,
MARTIN KAYMER,2014.0,65.0,294.9,64.58,0.244,70.468,4532537.0,2,"The Players Championship, U.S. Open"
MARTIN LAIRD,2014.0,66.0,297.2,66.31,-0.116,71.436,583663.0,0,
MATT EVERY,2014.0,85.0,286.3,63.33,0.497,70.722,2540370.0,1,Arnold Palmer Invitational
MATT JONES,2014.0,83.0,296.3,63.25,0.113,71.021,1928154.0,1,Shell Houston Open
MATT KUCHAR,2014.0,91.0,283.8,66.92,1.573,69.416,4695515.0,1,RBC Heritage
MICHAEL PUTNAM,2014.0,106.0,293.0,67.05,0.108,70.905,818799.0,0,
MICHAEL THOMPSON,2014.0,74.0,289.2,65.69,0.149,71.194,932300.0,0,
MIKE WEIR,2014.0,69.0,271.2,57.44,-0.626,71.789,854413.0,0,
MORGAN HOFFMANN,2014.0,103.0,295.4,62.74,0.034,70.899,1595922.0,0,
NICHOLAS THOMPSON,2014.0,85.0,287.0,66.67,-0.517,71.657,713377.0,0,
NICK WATNEY,2014.0,80.0,295.8,67.33,0.613,70.756,913398.0,0,
PAT PEREZ,2014.0,84.0,286.4,64.35,-0.004,71.11,1315080.0,0,
PATRICK REED,2014.0,92.0,292.3,63.64,0.331,70.598,4026076.0,2,"Humana Challenge, WGC-Cadillac Championship"
PAUL CASEY,2014.0,56.0,293.0,65.77,1.008,70.152,877968.0,0,
PHIL MICKELSON,2014.0,71.0,292.4,65.26,0.868,70.278,2158019.0,0,
RETIEF GOOSEN,2014.0,94.0,288.8,63.64,0.329,70.728,826073.0,0,
RICHARD LEE,2014.0,80.0,285.1,59.97,-0.432,71.528,618443.0,0,
RICKIE FOWLER,2014.0,91.0,297.5,64.51,0.769,70.172,4806117.0,0,
RICKY BARNES,2014.0,92.0,290.7,64.96,0.302,70.671,706855.0,0,
ROBERT ALLENBY,2014.0,83.0,284.9,67.63,0.105,70.92,514288.0,0,
ROBERT GARRIGUS,2014.0,80.0,306.1,65.14,0.429,70.728,1095474.0,0,
ROBERT STREB,2014.0,75.0,300.0,65.65,0.438,70.502,1300075.0,0,
ROBERTO CASTRO,2014.0,76.0,283.9,60.44,-0.3,71.617,615933.0,0,
RORY MCILROY,2014.0,66.0,310.5,69.44,2.266,68.827,8280096.0,3,"The Open Championship, WGC-Bridgestone Invitational, PGA Championship"
RORY SABBATINI,2014.0,82.0,294.2,65.38,-0.571,71.381,1024736.0,0,
RUSSELL HENLEY,2014.0,92.0,293.7,61.84,-0.106,71.379,2590493.0,1,The Honda Classic
RUSSELL KNOX,2014.0,92.0,285.7,68.0,0.822,70.111,1513630.0,0,
RYAN MOORE,2014.0,86.0,284.7,67.99,0.836,70.344,3098263.0,1,CIMB Classic
RYAN PALMER,2014.0,85.0,300.4,66.67,1.265,69.993,2924300.0,0,
RYO ISHIKAWA,2014.0,75.0,291.0,64.96,0.323,70.98,1380579.0,0,
SANGMOON BAE,2014.0,76.0,288.5,62.94,0.216,71.168,718111.0,0,
SCOTT BROWN,2014.0,100.0,287.2,65.0,0.345,70.936,1441725.0,0,
SCOTT LANGLEY,2014.0,95.0,281.3,64.16,0.284,70.662,1151496.0,0,
SCOTT STALLINGS,2014.0,77.0,300.4,63.16,-0.673,71.835,1385689.0,1,Farmers Insurance Open
SEAN O'HAIR,2014.0,77.0,300.5,63.42,-0.244,71.24,408793.0,0,
SERGIO GARCIA,2014.0,61.0,294.3,68.68,1.984,68.95,4939606.0,0,
SEUNG-YUL NOH,2014.0,92.0,296.5,66.97,0.306,70.661,2115234.0,0,
SHAWN STEFANI,2014.0,60.0,297.7,66.2,0.418,70.609,1369259.0,0,
SPENCER LEVIN,2014.0,59.0,280.1,64.31,-0.324,71.086,277780.0,0,
STEVEN BOWDITCH,2014.0,93.0,298.1,63.38,-0.182,71.145,1734693.0,1,Valero Texas Open
STEWART CINK,2014.0,91.0,293.7,66.36,0.113,70.847,929166.0,0,
STUART APPLEBY,2014.0,92.0,278.6,62.96,0.361,70.599,1477971.0,0,
"TED POTTER, JR.",2014.0,68.0,278.4,65.11,-0.09,71.087,386341.0,0,
TIM CLARK,2014.0,75.0,272.2,64.3,0.086,70.738,2066344.0,1,RBC Canadian Open
TIM WILKINSON,2014.0,86.0,282.4,61.72,0.127,70.714,824179.0,0,
TOMMY GAINEY,2014.0,73.0,294.0,64.01,-0.521,71.51,490590.0,0,
TREVOR IMMELMAN,2014.0,84.0,291.8,65.28,-0.317,71.471,447516.0,0,
TROY MATTESON,2014.0,62.0,296.7,61.97,-1.337,72.237,387796.0,0,
TROY MERRITT,2014.0,62.0,285.2,65.05,-0.099,70.9,882864.0,0,
TYRONE VAN ASWEGEN,2014.0,79.0,290.0,64.17,-0.247,71.07,454856.0,0,
